up,down,TODAYDATE,LAST,TIM,CON,TIM,Boolinger%,MACD1HR-DIF,STOCH1HR-DIF,OICP,OIPP,CP,PP,HIST,MACDDIF,STOCH,MACD,1-STOCH,ocpt,oppt,1=MACD,NCRAT,NORAT,CPT,PPT,NCDIF-v,NODIF-v,LAST,DAY%,20ma,50ma
24,-24,4-Oct-24,20206,1554,0,1554,32.61,-0.01,0.71,42070,-10967,1234,-473,0,0.01,2.08,-0.15,-56.44,1860312,806919,-0.24,1.2,2.3,53998,45549,0.04,0.09,18.69,-3.75,-0.03,-0.48
22,3,4-Oct-24,20208,1551,-0.01,1551,26.98,0,3.55,-20895,5598,383,395,0,0.01,-34.95,-0.16,-57.15,1818242,817886,-0.24,1.1,2.2,52764,46022,0,-0.04,18.67,-3.86,-0.07,-0.51
21,4,4-Oct-24,20209,1548,-0.03,1548,6.66,-0.02,3.06,5824,-1399,567,-20,-0.01,0,-70.65,-0.17,-60.7,1839137,812288,-0.25,1.1,2.3,52381,45627,0.01,0.01,18.57,-4.42,-0.18,-0.61
11,13,4-Oct-24,20219,1545,-0.03,1545,-10.13,-0.03,-0.92,-41627,11401,-27,1333,-0.02,-0.01,-84.14,-0.17,-63.76,1833313,813687,-0.25,1.1,2.3,51814,45647,-0.03,-0.09,18.5,-4.81,-0.28,-0.69
15,9,4-Oct-24,20215,1542,-0.02,1542,7.62,-0.01,-1.38,-27989,8620,-1120,560,-0.01,-0.01,-73.12,-0.16,-62.84,1874940,802286,-0.24,1.2,2.3,51841,44314,-0.04,-0.06,18.64,-4.02,-0.17,-0.56
24,0,4-Oct-24,20206,1539,-0.01,1539,16.08,-0.01,-0.37,-2669,1510,-90,6886,-0.01,0,-67.8,-0.15,-61.46,1902929,793666,-0.24,1.2,2.4,52961,43754,-0.23,-0.01,18.71,-3.63,-0.12,-0.5
19,5,4-Oct-24,20211,1536,-0.01,1536,15.73,-0.02,-0.07,-4079,2909,422,6715,-0.01,0.01,-72.7,-0.15,-61.09,1905598,792156,-0.24,1.4,2.4,53051,36868,-0.31,-0.01,18.72,-3.58,-0.13,-0.5
19,6,4-Oct-24,20211,1533,-0.02,1533,14.23,-0.02,1.1,-23195,1624,61,160,-0.02,-0.01,-76.41,-0.16,-61.02,1909677,789247,-0.24,1.7,2.4,52629,30153,0,-0.03,18.73,-3.52,-0.14,-0.5
34,-9,4-Oct-24,20196,1530,-0.02,1530,7,-0.02,-1.32,-518,6887,76,193,-0.02,0,-77.55,-0.15,-62.12,1932872,787623,-0.24,1.8,2.5,52568,29993,-0.01,-0.03,18.7,-3.69,-0.18,-0.53
32,-10,4-Oct-24,20187,1527,-0.02,1527,12.23,-0.02,1.48,34049,-11420,1560,-415,-0.02,0,-68.99,-0.15,-60.8,1933390,780736,-0.23,1.8,2.5,52492,29800,0.07,0.08,18.76,-3.36,-0.15,-0.48
25,7,4-Oct-24,20194,1524,-0.04,1524,2.64,-0.04,-2.52,-13491,1399,-414,175,-0.02,-0.01,-64.34,-0.15,-62.28,1899341,792156,-0.24,1.7,2.4,50932,30215,-0.02,-0.02,18.72,-3.58,-0.22,-0.53
45,-13,4-Oct-24,20173,1521,-0.04,1521,26,-0.02,-0.77,-25968,7221,-693,322,-0.01,0,-37.7,-0.14,-59.76,1912832,790757,-0.23,1.7,2.4,51346,30040,-0.04,-0.05,18.9,-2.59,-0.07,-0.35
54,-9,4-Oct-24,20164,1518,-0.05,1518,27.86,-0.02,1.53,-23330,12705,-898,443,-0.02,0,-39.42,-0.14,-58.99,1938800,783536,-0.22,1.8,2.5,52039,29718,-0.06,-0.08,18.92,-2.48,-0.07,-0.34
50,1,4-Oct-24,20165,1515,-0.08,1515,22.77,-0.03,-0.38,23330,-12819,939,-425,-0.03,0,-45.91,-0.14,-60.52,1962130,770831,-0.23,1.8,2.5,52937,29275,0.06,0.08,18.88,-2.7,-0.13,-0.38
46,1,4-Oct-24,20165,1512,-0.09,1512,22.3,-0.04,-1.15,-18498,15601,-407,747,-0.03,0,-43.69,-0.14,-60.14,1938800,783650,-0.23,1.8,2.5,51998,29700,-0.06,-0.08,18.89,-2.65,-0.15,-0.37
41,6,4-Oct-24,20171,1509,-0.1,1509,22.82,-0.03,-0.38,0,0,3,34,-0.04,0,-45.21,-0.14,-58.99,1957298,768049,-0.22,1.8,2.5,52405,28953,0,0,18.92,-2.48,-0.15,-0.35
